temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Wolferton Splash,4 Nov. 2018,8.3,"A young Princess Elizabeth marries Prince Philip. As King George VI's health worsens, Winston Churchill becomes Prime Minister for the second time."
1,2,Hyde Park Corner,4 Nov. 2016,9.1,"With King George too ill to travel, Elizabeth and Phillip embark on a four-continent Commonwealth tour. Party leaders attempt to undermine Churchill."
1,3,Windsor,4 Nov. 2016,8.3,"With Elizabeth in a new role, Phillip tries to assert some power. Churchill wants to delay the coronation. King George's disgraced brother arrives."
1,4,Act of God,4 Nov. 2016,8.7,"When dense fog cripples London for days and creates a serious health hazard, Churchill's inaction leaves him vulnerable to his political enemies."
1,5,Smoke and Mirrors,4 Nov. 2016,8.6,"Elizabeth rejects protocol by appointing Phillip to coordinate her coronation, but his ideas create conflict. The Duke of Windsor returns to London."
1,6,Gelignite,4 Nov. 2016,8.2,"Margaret and Peter come to Elizabeth with a request. With a royal scandal about to break in the newspapers, the Queen Mother intervenes."
1,7,Scientia Potentia Est,4 Nov. 2016,8.9,"As the Soviets test the H-bomb, both Churchill and Eden have major health crises. Angry about her inadequate education, Elizabeth hires a tutor."
1,8,Pride & Joy,4 Nov. 2016,8.5,Elizabeth and Phillip go on an exhausting world journey. Margaret takes over some of her sister's official duties and tries to liven things up.
1,9,Assassins,4 Nov. 2016,9.2,"As tensions with Phillip increase, Elizabeth spends time with her old friend Porchey. Churchill's portrait is painted for his 80th birthday."
1,10,Gloriana,4 Nov. 2016,8.7,"Margaret and Peter are reunited, but another obstacle stands in their way. Elizabeth is torn between her duty as Queen and her love for her sister."
2,1,Misadventure,8 Dec. 2017,8.3,"As Philip leaves for a long tour, Elizabeth makes an upsetting discovery. Prime Minister Eden wants to strike back after Egypt seizes the Suez Canal."
2,2,A Company of Men,8 Dec. 2017,8.3,Elizabeth feels disconnected from Philip. Eden copes with international pressure and ill health. An interview stirs up harrowing memories for Philip.
2,3,Lisbon,8 Dec. 2017,8.5,Palace insiders try to prevent a scandal that could reflect poorly on Philip. Eden faces censure from his cabinet and the press.
2,4,Beryl,8 Dec. 2017,8.7,"When Elizabeth and Philip throw a grand party for their 10th anniversary, both Margaret and the new Prime Minister experience romantic tribulations."
2,5,Marionettes,8 Dec. 2017,9.1,"After Elizabeth makes a tone-deaf speech at a Jaguar factory, she and the monarchy come under public attack by an outspoken lord."
2,6,Vergangenheit,8 Dec. 2017,9.2,A secret World War II document opens Elizabeth's eyes to grim realities about a family member. The Duke of Windsor campaigns to re-enter public life.
2,7,Matrimonium,8 Dec. 2017,8.2,A letter from Peter Townsend spurs Margaret to make a bold proposal. Elizabeth has good news that causes complications for Margaret.
2,8,Dear Mrs. Kennedy,8 Dec. 2017,9.2,"Inspired by Jackie Kennedy and against her government's wishes, Elizabeth takes an unconventional approach to resolving an issue in Ghana."
2,9,Paterfamilias,8 Dec. 2017,8.8,Philip insists that Prince Charles attend his alma mater in Scotland and reminisces about the life-changing difficulties he experienced there.
2,10,Mystery Man,8 Dec. 2017,8.5,A salacious government scandal hits close to home for Elizabeth and Philip. Elizabeth retreats to Scotland for the rest of a difficult pregnancy.
3,1,Olding,17 Nov. 2019,8.1,"The royal family mourns the passing of Winston Churchill. The United Kingdom ushers in a new prime minister, the Labour Party's Harold Wilson whom Prince Philip and Queen Elizabeth hear might be a Soviet spy."
3,2,Margaretology,17 Nov. 2019,8.6,"While Princess Margaret and Lord Snowdon visit the USA, the queen, at the bidding of Harold Wilson, asks them to make a side trip to Washington, D.C. to ask President Johnson for financial assistance for the United Kingdom."
3,3,Aberfan,17 Nov. 2019,9.4,"A horrible disaster in the Welsh town of Aberfan leaves scores of children dead, but when the Queen takes a week to decide to visit the town to offer solace to its people, she must confront her reasons for postponing the trip."
3,4,Bubbikins,17 Nov. 2019,8.8,"Left without a home by a political coup in Athens, Philip's eccentric mother, Princess Alice of Greece, is invited to live in Buckingham Palace by the Queen."
3,5,Coup,17 Nov. 2019,8.1,"While the Queen travels abroad to learn about horse training, unhappiness among the British elite with the devaluation of the pound involves Lord Mountbatten in a plan to oust Harold Wilson."
3,6,Tywysog Cymru,17 Nov. 2019,9.2,Prince Charles is sent to Aberystwyth to learn Welsh from an ardent nationalist in preparation for the ceremony for his investiture as Prince of Wales.
3,7,Moondust,17 Nov. 2019,8.1,"The 1969 moon landing occasions a mid-life crisis in Prince Philip, who thinks of the adventures he has missed as the Queen's consort."
3,8,Dangling Man,17 Nov. 2019,8.3,"Charles visits the exiled Duke of Windsor in his Paris chateau, only to find him very ill. But will the Queen make peace with her uncle before he dies?"
3,9,Imbroglio,17 Nov. 2019,8.2,"While Princess Anne dates her elder brother's polo rival Andrew Parker Bowles, Prince Charles falls deeply in love with Camilla Shand causing the Queen Mother and Lord Mountbatten to interfere."
3,10,Cri de Coeur,17 Nov. 2019,8.4,"As her marriage falls apart, Princess Margaret finds solace in the arms of a much younger landscape gardener. The Queen and the nation celebrate Elizabeth II's Silver Jubilee."
4,1,Episode #4.1,15 Nov. 2020,,
4,2,Episode #4.2,15 Nov. 2020,,
4,3,Episode #4.3,15 Nov. 2020,,
4,4,Episode #4.4,15 Nov. 2020,,
4,5,Episode #4.5,15 Nov. 2020,,
4,6,Episode #4.6,15 Nov. 2020,,
4,7,Episode #4.7,15 Nov. 2020,,
4,8,Episode #4.8,15 Nov. 2020,,
4,9,Episode #4.9,15 Nov. 2020,,The plot is not currently known. Takes place during the era of Margaret Thatcher.
4,10,Episode #4.10,15 Nov. 2020,,
5,1,Episode #5.1,,,
5,2,Episode #5.2,,,
5,3,Episode #5.3,,,
5,4,Episode #5.4,,,
5,5,Episode #5.5,,,
5,6,Episode #5.6,,,
5,7,Episode #5.7,,,
5,8,Episode #5.8,,,
5,9,Episode #5.9,,,
5,10,Episode #5.10,,,
6,1,Episode #6.1,,,
6,2,Episode #6.2,,,
6,3,Episode #6.3,,,
6,4,Episode #6.4,,,
6,5,Episode #6.5,,,
6,6,Episode #6.6,,,
6,7,Episode #6.7,,,
6,8,Episode #6.8,,,
6,9,Episode #6.9,,,
6,10,Episode #6.10,,,
